age,sex,sei10,polviews,mass_trans_spend_right
44,Male,31.1,Moderate,1
22,Male,38.2,Moderate,1
35,Female,87.9,Moderate,0
64,Female,26.1,Moderate,0
40,Female,80.9,Slghtly conservative,0
36,Female,50.3,Slghtly conservative,0
51,Female,13.6,Slghtly conservative,0
54,Male,61.4,Moderate,0
36,Male,51.9,Moderate,1
37,Male,36.2,Slightly liberal,1
50,Female,20.7,Liberal,0
25,Female,38.1,Liberal,1
22,Female,37.6,Liberal,1
40,Female,19.7,Extrmly conservative,1
28,Female,0,Extremely liberal,1
40,Female,38.8,Moderate,1
59,Female,61.9,Moderate,0
26,Male,61.4,Liberal,1
27,Male,27,Slightly liberal,1
69,Female,20.1,Conservative,1
53,Female,27,Extremely liberal,1
52,Male,39.7,Conservative,0
42,Male,62.6,Extremely liberal,1
60,Male,62,Moderate,0
59,Female,80.7,Slightly liberal,0
57,Male,54.3,Moderate,1
30,Female,20.1,Moderate,0
37,Female,80.9,Extremely liberal,1
40,Female,13.6,Extrmly conservative,1
33,Male,17.1,Moderate,0
51,Female,57.8,Slghtly conservative,1
46,Male,46.2,Conservative,1
52,Female,82.5,Slightly liberal,1
56,Female,76.3,Conservative,1
25,Male,59.1,Conservative,1
48,Female,21.8,Slghtly conservative,1
19,Female,0,Slightly liberal,1
36,Female,12.6,Liberal,0
28,Female,13.6,Extremely liberal,0
23,Male,19.6,Extremely liberal,0
29,Female,37.2,Moderate,1
69,Male,31.6,Moderate,0
35,Male,64.5,Liberal,0
38,Female,41.1,Slghtly conservative,1
31,Female,20.1,Moderate,1
42,Female,33.4,Conservative,0
78,Male,84.5,Liberal,0
31,Female,20.7,Extrmly conservative,1
67,Female,12.6,Slightly liberal,0
48,Female,73.5,Conservative,0
68,Male,38.1,Extremely liberal,0
42,Male,25,Slghtly conservative,1
65,Female,69.5,Liberal,1
44,Female,54.6,Liberal,1
77,Female,38.8,Slghtly conservative,0
62,Female,69.3,Liberal,1
51,Male,59.1,Slightly liberal,0
21,Female,0,Moderate,1
28,Female,71.6,Moderate,1
20,Female,0,Liberal,0
19,Female,38.3,Slghtly conservative,1
53,Female,43,Conservative,1
40,Female,28.7,Slightly liberal,0
51,Male,67.7,Moderate,0
65,Male,20.5,Slghtly conservative,0
51,Female,64.5,Moderate,0
60,Male,60.3,Moderate,1
57,Male,84,Moderate,1
70,Female,38.8,Slightly liberal,1
53,Female,0,Slightly liberal,1
37,Female,63.3,Moderate,1
56,Male,25.2,Conservative,0
59,Female,21.8,Moderate,1
21,Female,0,Slightly liberal,0
59,Male,70.4,Slghtly conservative,0
66,Male,38.2,Moderate,0
56,Male,60.5,Moderate,0
56,Female,21.8,Liberal,1
87,Female,15.8,Conservative,1
22,Female,37.6,Moderate,1
51,Male,20.7,Moderate,1
56,Female,35.8,Moderate,1
47,Female,45.3,Slghtly conservative,1
18,Male,0,Moderate,1
26,Female,49.3,Moderate,0
27,Female,24.2,Slightly liberal,0
33,Female,35.8,Slghtly conservative,1
31,Female,29.9,Conservative,1
70,Female,84.5,Moderate,0
51,Female,43,Extremely liberal,0
87,Female,59.1,Moderate,1
54,Female,77.4,Moderate,0
81,Female,79.3,Liberal,0
25,Male,34.7,Liberal,0
47,Male,32.6,Conservative,1
65,Male,69.4,Slghtly conservative,1
46,Male,37.6,Slghtly conservative,0
51,Male,99.9,Slightly liberal,0
53,Male,87.3,Moderate,1
45,Female,89.4,Moderate,1
18,Female,19.6,Slightly liberal,0
52,Female,72.7,Extremely liberal,0
56,Female,28.7,Moderate,1
34,Male,37.6,Slightly liberal,0
58,Female,41.1,Conservative,1
59,Male,42.7,Moderate,1
69,Female,63.7,Conservative,0
67,Female,20.7,Liberal,0
54,Female,62.9,Moderate,1
53,Male,65.1,Conservative,0
47,Female,71.8,Extremely liberal,1
47,Male,65.3,Slightly liberal,0
32,Female,56.8,Moderate,1
28,Female,43,Slightly liberal,1
23,Female,27,Moderate,1
53,Female,84.2,Conservative,0
51,Male,32,Moderate,1
66,Female,63.7,Liberal,0
54,Male,86.5,Slghtly conservative,1
68,Male,36.2,Liberal,0
58,Male,62,Conservative,1
47,Male,77.4,Conservative,0
33,Female,56.9,Slghtly conservative,0
66,Female,38.8,Moderate,0
27,Male,46.5,Liberal,0
54,Male,32,Liberal,1
53,Male,34.4,Slightly liberal,0
54,Male,84.2,Moderate,1
67,Male,43,Slightly liberal,1
67,Female,20.1,Extrmly conservative,1
65,Female,84.2,Moderate,1
23,Female,73.9,Slightly liberal,0
27,Female,54.6,Moderate,1
28,Male,25,Moderate,1
34,Female,55.3,Moderate,0
27,Female,66.1,Moderate,0
60,Male,20.7,Moderate,0
26,Male,25,Slightly liberal,1
74,Female,24.6,Moderate,1
31,Male,27.4,Slightly liberal,0
63,Male,39.6,Moderate,0
72,Female,50.1,Moderate,1
25,Male,73.4,Liberal,0
35,Male,21.6,Moderate,0
56,Male,52.4,Slghtly conservative,1
20,Female,0,Slightly liberal,1
75,Male,45.4,Moderate,0
43,Female,69.3,Slghtly conservative,0
28,Female,41.1,Liberal,1
68,Male,46,Moderate,0
61,Female,41.1,Moderate,1
46,Female,19.6,Slightly liberal,0
53,Male,76.3,Moderate,0
35,Female,67.7,Moderate,0
70,Female,87.9,Moderate,0
59,Female,20.9,Moderate,1
47,Male,36.4,Slightly liberal,1
22,Female,38.2,Moderate,0
65,Female,84.2,Slghtly conservative,1
81,Female,63.7,Slghtly conservative,0
74,Male,69.3,Moderate,0
77,Female,80.9,Liberal,0
22,Male,19.6,Moderate,0
54,Male,81.9,Moderate,0
48,Female,67.7,Liberal,0
43,Male,59.8,Moderate,0
27,Female,37.6,Slghtly conservative,1
30,Female,87.9,Moderate,1
55,Female,0,Slightly liberal,1
40,Male,87.9,Liberal,1
51,Male,55.3,Moderate,0
21,Female,22.4,Slghtly conservative,0
29,Male,27,Slghtly conservative,1
83,Female,25,Moderate,0
81,Female,35.8,Slightly liberal,1
66,Female,43.8,Moderate,0
72,Male,59.1,Slghtly conservative,1
78,Female,59.1,Conservative,0
80,Male,59.1,Slightly liberal,0
60,Female,62.1,Conservative,0
24,Male,18.6,Liberal,0
81,Male,43,Liberal,0
33,Female,32.6,Moderate,0
23,Male,43.9,Moderate,1
22,Female,46.6,Moderate,1
31,Male,63.1,Slightly liberal,1
34,Female,39.7,Liberal,0
87,Female,28.7,Moderate,0
47,Female,39.7,Moderate,1
35,Male,31.3,Moderate,1
76,Female,20.1,Moderate,1
44,Female,62.6,Moderate,1
27,Female,80.9,Conservative,1
19,Female,42.9,Conservative,1
39,Female,21.5,Moderate,1
58,Female,84.2,Liberal,0
42,Female,23.8,Moderate,1
71,Female,24.6,Slghtly conservative,0
43,Female,35.8,Moderate,1
30,Female,39.7,Slightly liberal,1
51,Female,82.5,Slghtly conservative,0
39,Female,78.3,Moderate,1
27,Female,0,Slightly liberal,1
66,Male,89.3,Slghtly conservative,0
60,Male,79.4,Slightly liberal,1
19,Female,21.6,Moderate,0
30,Male,65.3,Conservative,1
37,Female,33.4,Extremely liberal,1
50,Male,24,Conservative,0
35,Female,20.1,Moderate,1
44,Male,67.7,Liberal,1
70,Female,12.6,Moderate,1
20,Female,17,Liberal,0
33,Female,0,Moderate,1
51,Male,46,Moderate,1
62,Male,18.6,Liberal,1
46,Female,21.6,Moderate,0
47,Male,28.7,Moderate,0
56,Female,38.3,Moderate,0
27,Female,62.9,Moderate,1
63,Female,68.6,Liberal,0
38,Female,84.2,Moderate,1
35,Male,25.2,Slghtly conservative,0
79,Female,15.8,Extrmly conservative,0
47,Male,46,Moderate,1
43,Male,63.7,Liberal,0
34,Female,0,Liberal,0
43,Female,20.7,Moderate,0
44,Female,99.9,Slightly liberal,0
54,Female,21.8,Moderate,0
79,Female,43.9,Liberal,0
59,Male,32.6,Liberal,1
28,Female,24.2,Liberal,1
63,Female,47.9,Extrmly conservative,1
24,Female,99.9,Moderate,0
29,Male,32,Moderate,1
46,Male,26.1,Liberal,0
73,Female,14,Moderate,1
57,Male,28.7,Slightly liberal,0
20,Female,23.8,Moderate,1
51,Male,91.1,Conservative,0
43,Male,57.4,Slghtly conservative,1
65,Male,62.4,Moderate,0
28,Male,27.6,Moderate,1
25,Male,19.7,Liberal,1
40,Male,13.6,Conservative,1
34,Male,81,Moderate,0
27,Male,59.4,Moderate,1
59,Female,84.2,Slightly liberal,1
25,Female,43,Moderate,1
56,Male,25.2,Extrmly conservative,1
61,Female,76.3,Slghtly conservative,1
56,Female,63.7,Moderate,1
46,Female,19.6,Slghtly conservative,1
35,Female,62.9,Liberal,0
31,Female,54.6,Liberal,0
57,Male,36.2,Moderate,1
50,Female,68.6,Moderate,0
25,Male,23.3,Moderate,1
59,Female,37.6,Moderate,1
73,Male,39.6,Liberal,0
60,Male,31.2,Moderate,1
66,Male,50.4,Moderate,0
84,Male,43.9,Moderate,1
57,Female,21.8,Slightly liberal,1
68,Male,50.4,Conservative,1
35,Female,60.3,Moderate,0
28,Female,71.8,Conservative,1
42,Female,78.3,Moderate,0
38,Female,18.6,Moderate,0
69,Male,44.5,Moderate,1
68,Male,67.7,Moderate,1
44,Male,27.4,Slightly liberal,1
67,Male,33.9,Conservative,0
28,Female,43,Slghtly conservative,1
45,Female,88.7,Moderate,1
62,Male,84.5,Conservative,1
68,Female,82.5,Liberal,0
34,Female,59.1,Slghtly conservative,1
32,Female,82.5,Liberal,1
24,Female,14,Extremely liberal,0
31,Female,41.1,Liberal,0
32,Female,62.4,Moderate,1
22,Male,19.6,Liberal,1
25,Male,34.7,Moderate,0
35,Female,12.6,Conservative,1
64,Female,41.8,Slightly liberal,1
26,Male,23.7,Moderate,1
30,Male,19.6,Moderate,0
63,Male,82.5,Extremely liberal,0
46,Male,62.4,Slghtly conservative,0
24,Male,19.6,Moderate,1
61,Male,62,Moderate,1
57,Female,84.2,Conservative,1
40,Male,72.7,Extremely liberal,0
42,Female,41.1,Liberal,1
64,Female,52,Slghtly conservative,0
50,Female,23.3,Extremely liberal,0
41,Male,84.5,Slghtly conservative,1
58,Male,59.9,Slightly liberal,1
71,Female,43,Moderate,0
58,Female,77.4,Slghtly conservative,0
55,Male,69.3,Moderate,1
65,Female,39.7,Extremely liberal,0
27,Male,62,Moderate,1
43,Male,59.1,Liberal,0
29,Female,37.2,Liberal,0
56,Male,51.5,Liberal,0
67,Female,80.9,Liberal,0
21,Male,25.4,Liberal,0
69,Male,31.2,Extrmly conservative,1
62,Female,39.7,Moderate,1
23,Female,24.2,Moderate,1
43,Female,57.4,Conservative,0
46,Female,43.9,Conservative,0
34,Male,69.3,Slightly liberal,0
40,Male,91.1,Moderate,0
56,Male,42.9,Moderate,1
25,Female,80.9,Slightly liberal,0
77,Female,38.8,Moderate,1
30,Male,61.4,Extremely liberal,0
70,Male,52.1,Extremely liberal,0
70,Female,69.3,Liberal,1
79,Male,33.9,Conservative,0
59,Male,51.7,Moderate,0
61,Female,62.9,Liberal,1
68,Male,46.5,Moderate,0
29,Male,66.2,Conservative,1
31,Female,24.2,Moderate,0
32,Male,62.9,Liberal,0
27,Female,13.6,Liberal,1
47,Male,32,Extremely liberal,0
35,Male,50.4,Moderate,1
54,Male,38.4,Moderate,1
54,Male,99.9,Moderate,1
31,Male,38.8,Liberal,1
55,Female,25,Moderate,0
61,Female,75.5,Moderate,1
26,Male,83.8,Liberal,1
60,Female,49.4,Conservative,1
60,Female,26.5,Moderate,0
25,Male,67.8,Conservative,0
56,Male,62.6,Moderate,1
57,Male,65.3,Moderate,0
49,Male,34.7,Extrmly conservative,1
82,Male,13.6,Slghtly conservative,1
53,Male,32.6,Slightly liberal,1
22,Female,12.6,Moderate,0
29,Male,25.2,Moderate,0
50,Female,46.6,Moderate,1
35,Female,26.5,Moderate,0
56,Male,87.9,Conservative,0
82,Male,99.9,Slightly liberal,0
39,Male,43.9,Moderate,0
50,Female,39.7,Conservative,1
50,Female,19.6,Moderate,1
22,Male,58.4,Moderate,0
52,Female,46.5,Liberal,0
38,Female,34.8,Slghtly conservative,1
39,Female,43,Slightly liberal,0
38,Male,33.9,Moderate,0
62,Female,35.8,Conservative,1
43,Female,33.2,Liberal,0
53,Female,42.8,Slghtly conservative,1
39,Male,28.4,Slghtly conservative,0
23,Female,19.6,Moderate,1
69,Female,68,Liberal,1
56,Female,14,Moderate,0
77,Male,84.5,Conservative,0
77,Male,38.3,Slghtly conservative,0
61,Male,35.3,Extrmly conservative,1
39,Female,71.6,Conservative,0
83,Female,20.7,Extremely liberal,1
65,Male,32,Slghtly conservative,1
59,Male,32,Conservative,1
63,Female,66.4,Moderate,0
50,Male,28.7,Moderate,0
72,Male,48.3,Slghtly conservative,1
42,Female,57.8,Moderate,0
75,Male,62,Moderate,1
40,Female,37.6,Moderate,1
69,Female,59.1,Liberal,0
62,Female,76.3,Extremely liberal,0
42,Male,83.8,Conservative,1
82,Female,84.2,Slghtly conservative,0
74,Female,25.7,Extrmly conservative,1
83,Female,55.3,Moderate,1
76,Male,79.3,Slightly liberal,1
23,Male,84.5,Slightly liberal,0
19,Male,21.6,Liberal,0
51,Female,25.7,Moderate,1
37,Female,45.4,Liberal,0
28,Male,47.9,Slghtly conservative,1
31,Male,87.9,Slghtly conservative,1
43,Male,61.4,Moderate,0
89,Male,57.4,Slightly liberal,1
19,Female,21.6,Moderate,1
58,Male,28.4,Moderate,1
38,Male,70.5,Moderate,1
47,Female,80.9,Extrmly conservative,1
48,Female,12.6,Conservative,0
38,Male,20.7,Moderate,0
26,Male,26.1,Moderate,0
23,Female,21.8,Extrmly conservative,1
44,Female,21.6,Moderate,0
30,Female,20.7,Moderate,0
35,Male,20.9,Conservative,1
49,Female,26.1,Liberal,1
52,Male,23.3,Moderate,1
73,Male,58.4,Conservative,1
52,Female,38.8,Slightly liberal,1
22,Male,60.3,Moderate,0
26,Female,64.2,Moderate,1
42,Male,24.2,Liberal,0
46,Female,59.8,Moderate,0
24,Male,23.3,Moderate,0
27,Female,41.8,Moderate,1
33,Female,32.6,Moderate,1
54,Female,86.7,Conservative,0
47,Male,35.2,Moderate,1
62,Male,72.7,Extremely liberal,0
48,Male,32,Moderate,0
41,Female,19.6,Extrmly conservative,0
32,Male,84.5,Extremely liberal,0
31,Male,32,Moderate,0
40,Male,64.5,Moderate,0
37,Female,60.3,Conservative,1
40,Female,76.7,Slghtly conservative,1
36,Male,57.3,Slghtly conservative,0
47,Male,37.2,Extremely liberal,0
37,Female,91.1,Slightly liberal,0
89,Male,39,Moderate,0
71,Female,26.1,Moderate,1
21,Female,24.6,Liberal,0
67,Female,59.1,Extremely liberal,0
34,Male,20.7,Slightly liberal,1
65,Male,23.8,Moderate,0
68,Female,21.6,Conservative,1
38,Female,0,Slghtly conservative,1
67,Female,77.2,Slightly liberal,1
59,Female,24.2,Liberal,0
52,Female,58.4,Moderate,1
49,Female,80.9,Moderate,1
26,Male,53,Moderate,0
70,Female,68.6,Slghtly conservative,0
21,Female,19.6,Slghtly conservative,0
69,Male,12.4,Moderate,1
51,Male,20.9,Conservative,1
39,Male,73.5,Slghtly conservative,0
35,Male,43,Liberal,1
29,Male,39.7,Slghtly conservative,1
45,Male,62,Slghtly conservative,0
41,Male,52,Liberal,1
46,Male,65.3,Moderate,0
23,Male,34.7,Conservative,1
31,Female,37.6,Slightly liberal,0
47,Male,73.9,Extrmly conservative,1
58,Female,77.4,Liberal,0
26,Male,31.2,Moderate,0
66,Male,84,Slightly liberal,0
35,Female,84.2,Slghtly conservative,1
44,Female,28.6,Conservative,1
66,Male,79.4,Slghtly conservative,1
57,Male,23.3,Moderate,1
27,Female,52,Moderate,1
43,Male,31.2,Slightly liberal,1
64,Male,24.2,Moderate,1
44,Female,43,Conservative,0
65,Female,52,Liberal,0
24,Female,61.4,Moderate,0
72,Female,20.1,Conservative,0
22,Male,13.6,Liberal,0
57,Female,71.8,Slghtly conservative,1
63,Female,23.7,Slightly liberal,1
55,Female,26.9,Moderate,1
56,Male,62.9,Slghtly conservative,0
87,Male,92,Conservative,1
53,Female,67.7,Moderate,0
36,Male,92.1,Slghtly conservative,0
52,Female,24.6,Slghtly conservative,1
37,Male,71.4,Liberal,0
75,Male,45.1,Liberal,0
28,Female,62.9,Conservative,1
21,Female,21.8,Moderate,0
68,Female,39.7,Slghtly conservative,1
59,Female,67.7,Liberal,1
40,Male,45.4,Slghtly conservative,1
35,Female,55.3,Moderate,1
51,Male,55.3,Slghtly conservative,0
40,Male,31.3,Slghtly conservative,0
47,Female,39.7,Conservative,0
45,Male,87.9,Conservative,0
48,Female,61.4,Moderate,1
23,Male,22.9,Moderate,1
26,Male,92.8,Moderate,0
33,Male,84.5,Liberal,0
48,Female,84.2,Moderate,0
36,Female,92,Moderate,1
19,Male,26.1,Moderate,1
49,Male,28.5,Conservative,0
38,Male,71.7,Liberal,1
44,Female,27.6,Extremely liberal,0
29,Female,76.3,Slightly liberal,0
28,Female,38.8,Slghtly conservative,0
42,Female,75.5,Extrmly conservative,1
60,Male,31,Slightly liberal,0
43,Male,24,Slghtly conservative,0
37,Female,52,Conservative,0
54,Male,68.6,Slghtly conservative,0
30,Male,43,Moderate,1
55,Female,38.8,Moderate,0
63,Male,43.9,Extrmly conservative,1
50,Male,38.3,Moderate,1
68,Female,38.8,Moderate,1
36,Female,38.8,Moderate,1
77,Male,86.1,Conservative,1
25,Female,26.1,Moderate,0
26,Male,60.3,Extremely liberal,0
49,Female,20.7,Moderate,1
77,Female,19.6,Slightly liberal,0
30,Female,79.6,Liberal,0
54,Male,75.6,Liberal,0
29,Male,59.4,Moderate,1
52,Male,20.7,Slightly liberal,0
25,Female,21.5,Moderate,0
21,Female,0,Conservative,1
42,Female,20.1,Conservative,0
37,Female,13.3,Slghtly conservative,1
49,Female,24.2,Moderate,1
56,Female,31.6,Moderate,0
30,Female,41,Moderate,0
67,Male,10.6,Slghtly conservative,0
23,Female,82.5,Moderate,1
31,Male,38.3,Slightly liberal,1
55,Male,43.9,Extrmly conservative,1
24,Female,28.7,Conservative,0
67,Male,28.6,Conservative,0
62,Female,24.6,Moderate,1
62,Female,26.1,Slightly liberal,0
23,Male,24.2,Conservative,1
50,Male,46,Moderate,1
54,Male,99.9,Moderate,1
58,Female,31.6,Moderate,0
34,Female,23.8,Extremely liberal,0
37,Female,25.7,Liberal,1
29,Female,48.8,Moderate,1
52,Female,38.3,Slghtly conservative,0
39,Female,84.2,Conservative,1
70,Female,80.9,Conservative,1
73,Female,67.7,Moderate,1
31,Female,35.8,Slghtly conservative,1
25,Female,62,Moderate,1
62,Male,74.6,Extrmly conservative,1
66,Male,34.8,Liberal,1
65,Female,13.3,Moderate,1
58,Male,29.4,Liberal,1
65,Female,24.2,Slightly liberal,1
57,Male,28.7,Moderate,0
57,Male,25.2,Slghtly conservative,1
30,Male,14,Conservative,1
26,Female,13.6,Moderate,1
58,Male,18.6,Moderate,1
77,Male,13.6,Moderate,0
39,Female,67.7,Moderate,1
67,Male,78.3,Conservative,1
70,Male,31.2,Conservative,1
69,Female,21.8,Extrmly conservative,1
87,Female,21.6,Conservative,1
66,Female,20.8,Conservative,1
31,Male,76.3,Conservative,0
63,Female,47.9,Moderate,1
78,Female,43,Conservative,1
68,Male,67.7,Moderate,0
51,Male,76.3,Extrmly conservative,1
30,Male,37.6,Conservative,0
32,Female,64.5,Slightly liberal,0
39,Male,88,Moderate,1
42,Male,68.6,Conservative,0
48,Female,84.2,Slightly liberal,0
34,Female,82.4,Liberal,0
68,Male,73.6,Liberal,0
52,Male,43,Moderate,0
83,Female,82.5,Moderate,1
73,Male,84,Liberal,1
38,Male,59.1,Slightly liberal,1
77,Female,14.6,Moderate,1
36,Male,32,Moderate,0
36,Male,20.9,Liberal,1
65,Male,28.5,Moderate,0
24,Male,0,Liberal,0
63,Male,77.4,Moderate,0
53,Female,23.3,Moderate,1
35,Female,60.2,Slightly liberal,1
76,Male,45.4,Slghtly conservative,0
48,Male,77.4,Slghtly conservative,1
27,Male,34.7,Slghtly conservative,0
72,Female,39.7,Slghtly conservative,1
34,Male,37.6,Moderate,1
38,Female,99.9,Slghtly conservative,1
30,Female,60.5,Conservative,0
42,Male,80.9,Liberal,1
43,Male,45.1,Conservative,0
80,Female,60.3,Moderate,1
80,Male,18.8,Extrmly conservative,1
42,Female,24.2,Moderate,1
41,Male,68.6,Conservative,0
57,Male,18.6,Liberal,0
49,Male,20.9,Moderate,0
40,Female,0,Conservative,0
66,Female,31.6,Moderate,1
87,Female,22.9,Moderate,1
59,Male,54.3,Extremely liberal,0
52,Male,57,Liberal,0
58,Female,24.6,Moderate,1
30,Male,23.3,Moderate,0
26,Female,62.9,Extremely liberal,1
20,Male,23.8,Slightly liberal,1
20,Male,39.7,Conservative,1
23,Male,99.9,Moderate,0
25,Female,25.7,Moderate,1
20,Male,21.6,Slightly liberal,1
31,Male,84.5,Slghtly conservative,0
26,Female,87.9,Extremely liberal,0
19,Female,19.6,Extremely liberal,0
30,Male,19.6,Moderate,0
23,Female,39.7,Moderate,0
23,Male,99.9,Moderate,0
53,Male,77.4,Moderate,0
19,Female,37.6,Liberal,1
40,Female,84.2,Slightly liberal,1
47,Male,46.5,Moderate,1
38,Male,21.4,Liberal,1
54,Female,45.1,Conservative,1
47,Female,37.6,Moderate,1
67,Female,80.9,Slghtly conservative,1
57,Male,80.9,Conservative,1
89,Male,73.1,Extremely liberal,0
51,Female,52,Moderate,1
32,Female,23.3,Slightly liberal,0
22,Female,25.7,Conservative,1
42,Male,25.2,Slghtly conservative,0
37,Female,0,Liberal,0
54,Male,29.5,Slghtly conservative,1
24,Female,37.6,Moderate,0
25,Female,37.6,Moderate,0
44,Female,67.8,Liberal,1
25,Male,27.6,Liberal,1
24,Male,36.4,Slightly liberal,0
78,Female,67.7,Slghtly conservative,0
23,Female,38.8,Liberal,1
38,Male,23,Liberal,1
57,Male,38.1,Slghtly conservative,1
70,Female,38.8,Extremely liberal,1
69,Male,25,Liberal,0
